Block	Plot_Nr	composition
1	1	41M
1	4	Dg
1	6	Pm
1	8	Ao
1	11	83S
1	13	41F
1	15	42S
1	16	Dc
1	17	Ra
1	18	83M
1	20	Pt
1	21	201
1	24	49F
1	25	48S
1	26	Hl
1	30	Am
1	31	As
1	32	Lp
1	33	45M
1	35	810M
1	36	83F
1	39	49M
1	40	87F
1	41	82S
1	42	45S
1	43	202
1	44	87M
1	45	Be
1	46	410S
1	47	Pg
1	48	82F
1	49	89M
1	50	88S
1	52	To
1	53	46F
1	54	87S
1	56	Cj
1	58	43F
1	59	203
1	60	Cb
1	66	410M
1	67	Hp
1	68	41S
1	69	89F
1	70	82M
1	71	Fr
1	74	42F
1	75	48M
1	78	Ga
1	79	Sp
1	80	81F
1	81	Hs
1	82	81S
1	83	204
2	86	82F
2	88	Pg
2	89	81F
2	90	87M
2	91	Ao
2	93	Lp
2	94	89F
2	95	Dc
2	96	Cj
2	97	Fr
2	98	81S
2	99	204
2	100	810M
2	102	41F
2	106	49F
2	107	83M
2	108	41M
2	109	48S
2	110	82M
2	113	Cb
2	114	Pt
2	115	To
2	117	203
2	119	As
2	120	82S
2	121	Hp
2	122	89M
2	124	45S
2	125	83S
2	126	Sp
2	127	41S
2	129	Dg
2	130	Hl
2	134	Am
2	135	87F
2	136	83F
2	137	410M
2	138	48M
2	140	43F
2	142	46F
2	144	49M
2	146	Ga
2	148	Be
2	149	42S
2	150	87S
2	152	45M
2	155	88S
2	156	Hs
2	157	410S
2	158	202
2	159	42F
2	164	Pm
2	166	201
2	167	Ra
3	169	Dg
3	171	201
3	172	49M
3	174	82S
3	176	Dc
3	178	Pm
3	180	88S
3	181	42S
3	182	Ga
3	183	83F
3	184	43F
3	185	89M
3	189	82M
3	190	203
3	191	410M
3	195	48M
3	197	Lp
3	198	Sp
3	199	Fr
3	200	46F
3	201	410S
3	202	Cb
3	204	83S
3	205	81F
3	206	87F
3	207	41M
3	208	41S
3	210	As
3	211	81S
3	212	To
3	215	45M
3	216	Hp
3	218	49F
3	219	Hl
3	222	87M
3	224	Be
3	225	45S
3	228	82F
3	229	Am
3	230	87S
3	231	83M
3	232	Pt
3	233	202
3	234	Cj
3	235	41F
3	237	42F
3	241	810M
3	242	Ao
3	243	89F
3	244	48S
3	247	204
3	248	Ra
3	250	Pg
3	251	Hs
4	253	45M
4	256	48S
4	258	82S
4	260	410M
4	262	Pg
4	263	81F
4	266	41S
4	267	87F
4	268	87M
4	269	89M
4	271	83S
4	273	41M
4	274	Pm
4	275	Fr
4	278	Ao
4	279	Sp
4	281	Am
4	282	88S
4	284	45S
4	286	Cb
4	287	49F
4	289	42F
4	290	202
4	291	82M
4	292	Pt
4	294	Lp
4	295	203
4	297	46F
4	298	Dg
4	299	Hl
4	304	82F
4	305	41F
4	307	81S
4	308	201
4	309	410S
4	310	48M
4	312	42S
4	313	Ra
4	315	As
4	317	89F
4	318	To
4	321	Dc
4	322	49M
4	323	83F
4	325	83M
4	326	43F
4	327	Cj
4	328	204
4	329	Hs
4	330	Hp
4	333	810M
4	334	Ga
4	335	Be
4	336	87S
