Block	Plot_Nr	N	F	SD	FD	composition
1	1	1	1	4	M	41M
1	2	0	1	4	M	42M
1	3	1	0	8	M	85M
1	4	1	0	1	F	Dg
1	5	0	0	4	M	43M
1	6	0	0	1	S	Pm
1	7	1	1	4	F	47F
1	8	1	0	1	S	Ao
1	9	0	1	4	F	44F
1	10	1	0	4	S	47S
1	11	0	1	8	S	83S
1	12	0	1	8	F	85F
1	13	0	1	4	F	41F
1	14	1	0	4	M	46M
1	15	0	0	4	S	42S
1	16	1	1	1	S	Dc
1	17	1	0	1	F	Ra
1	18	0	0	8	M	83M
1	19	1	0	4	F	48F
1	20	1	1	1	F	Pt
1	21	0	0	20	M	201
1	22	1	0	4	S	43S
1	23	0	1	4	S	44S
1	24	1	0	4	F	49F
1	25	1	0	4	S	48S
1	26	1	1	1	F	Hl
1	27	0	0	4	F	45F
1	28	1	0	8	S	85S
1	29	0	1	8	S	89S
1	30	1	0	1	S	Am
1	31	0	1	1	F	As
1	32	1	0	1	F	Lp
1	33	0	1	4	M	45M
1	34	1	0	8	M	81M
1	35	0	0	8	M	810M
1	36	0	1	8	F	83F
1	37	0	0	4	S	49S
1	38	0	0	4	M	44M
1	39	0	1	4	M	49M
1	40	1	0	8	F	87F
1	41	1	1	8	S	82S
1	42	1	0	4	S	45S
1	43	1	0	20	M	202
1	44	0	1	8	M	87M
1	45	1	1	1	S	Be
1	46	0	0	4	S	410S
1	47	0	1	1	S	Pg
1	48	1	1	8	F	82F
1	49	0	1	8	M	89M
1	50	1	1	8	S	88S
1	51	1	1	8	S	84S
1	52	1	0	1	F	To
1	53	0	1	4	F	46F
1	54	0	0	8	S	87S
1	55	0	0	4	S	46S
1	56	0	0	1	S	Cj
1	57	1	0	8	S	86S
1	58	0	0	4	F	43F
1	59	1	0	20	M	203
1	60	0	1	1	F	Cb
1	61	1	0	8	F	84F
1	62	0	0	8	S	810S
1	63	0	1	8	F	88F
1	64	0	1	4	F	410F
1	65	0	1	8	F	810F
1	66	0	0	4	M	410M
1	67	0	0	1	S	Hp
1	68	0	0	4	S	41S
1	69	1	1	8	F	89F
1	70	0	0	8	M	82M
1	71	0	1	1	S	Fr
1	72	0	0	8	M	86M
1	73	1	0	8	M	88M
1	74	0	1	4	F	42F
1	75	1	0	4	M	48M
1	76	1	1	8	M	84M
1	77	0	1	4	M	47M
1	78	1	0	1	F	Ga
1	79	1	1	1	S	Sp
1	80	1	0	8	F	81F
1	81	0	1	1	F	Hs
1	82	0	1	8	S	81S
1	83	1	1	20	M	204
1	84	1	0	8	F	86F
2	85	0	0	8	S	84S
2	86	0	1	8	F	82F
2	87	1	1	8	M	88M
2	88	1	0	1	S	Pg
2	89	1	1	8	F	81F
2	90	0	0	8	M	87M
2	91	1	1	1	S	Ao
2	92	1	1	4	S	43S
2	93	0	0	1	F	Lp
2	94	1	0	8	F	89F
2	95	0	0	1	S	Dc
2	96	0	1	1	S	Cj
2	97	1	1	1	S	Fr
2	98	1	0	8	S	81S
2	99	1	0	20	M	204
2	100	0	1	8	M	810M
2	101	0	0	4	F	44F
2	102	1	1	4	F	41F
2	103	0	1	8	F	86F
2	104	1	0	4	F	45F
2	105	0	1	8	M	84M
2	106	1	1	4	F	49F
2	107	1	1	8	M	83M
2	108	0	1	4	M	41M
